Model,MSE,RMSE,MAE,R2,MAPE
Simple LSTM,48.679156021819345,6.977044934771407,5.468269090973928,0.8865537964353317,2.6296994806782785
CNN-GADF,545.5676960327553,23.357390608386787,19.2566310582536,-0.2714391324840768,9.13739009907905
LSTM Image,1368.725074160352,36.99628459940744,30.646409624078302,-2.1897977713019854,14.471365265499525
ResNet-LSTM,77.48979691261152,8.802828915332361,6.774259074350422,0.8194109349226886,3.178682381642491
